,language_initial,koryakov_db_id,eng_vil_name,rus_vil_name,lang_1_K,lang_2_K,lang_1_S,lang_2_S,same_languages,name_1885,name_1895,name_1926,name_2010,census_1885,census_1895,census_1926,census_2010,Lat,Lon,Republic,Region,elevation,LevK_comments,kutans,Family,language
20,Akhvakh сев.-ахвах.,379.0,Izano,Изано,Akhvakh,сев.-ахвах.,Akhvakh,,True,Изани (Изаниб),Изани (Изанибъ),Изани,Изано,412.0,433.0,318.0,1211.0,42.52735,46.403890000000004,Daghestan,,1823.7587890625,,not_kutan,Andic,Akhvakh Northern Akhvakh
21,Akhvakh сев.-ахвах.,453.0,Kvankero,Кванкеро,Akhvakh,сев.-ахвах.,Akhvakh,,True,,Конкеро (Куанкеро),Канкеро,Кванкеро,,496.0,205.0,369.0,42.552440000000004,46.3404,Daghestan,,1359.33947753906,,not_kutan,Andic,Akhvakh Northern Akhvakh
22,Akhvakh сев.-ахвах.,417.0,Kudiyabroso,Кудиябросо,Akhvakh,сев.-ахвах.,Akhvakh,,True,"Кудиаб-росо (Ахвах, Инка-Гаин)",Кудиаб-Росо (Ахвахъ),Кудияб-Россо,Кудиябросо,708.0,700.0,367.0,2233.0,42.541069,46.377932,Daghestan,,1566.5183105468802,,not_kutan,Andic,Akhvakh Northern Akhvakh
23,Akhvakh сев.-ахвах.,451.0,Tad-Magitl',Тад-Магитль,Akhvakh,сев.-ахвах.,Akhvakh,,True,Тад-Магитль (Куанкеро),Тадъ-Магитль (Ка-Мегитль),Тад-Магитль,Тад-Магитль,735.0,331.0,295.0,1203.0,42.550266,46.348953,Daghestan,,1443.8991699218802,,not_kutan,Andic,Akhvakh Northern Akhvakh
24,Akhvakh южно-ахвахский,1165.0,Ratlub,Ратлуб,Akhvakh,южно-ахвахский,Akhvakh,,True,Ратлу,Ратлухъ (Ратлу),Ратлуб,Ратлуб,735.0,635.0,730.0,958.0,42.359268,46.433433,Daghestan,,1581.42468261719,,not_kutan,Andic,Akhvakh Southern Akhvakh
25,Akhvakh южно-ахвахский,543.0,Tlyanub,Тлянуб,Akhvakh,южно-ахвахский,Akhvakh,,True,Тлянуб (Тлану),"Тлянуб (Тляноб, Тлану)",Тляноб,Тлянуб,464.0,594.0,494.0,229.0,42.43568,46.45745,Daghestan,,1645.93200683594,,not_kutan,Andic,Akhvakh Southern Akhvakh
26,Akhvakh южно-ахвахский,559.0,Tsekob,Цекоб,Akhvakh,южно-ахвахский,Akhvakh,,True,Цеко,"Цекоб (Цеко, Циго)",Цекоб,Цекоб,481.0,536.0,493.0,143.0,42.422785,46.450219,Daghestan,,1613.07263183594,,not_kutan,Andic,Akhvakh Southern Akhvakh
27,Andi верхне-андийски,231.0,Ashali,Ашали,Andi,верхне-андийски,Andi,,True,Ашали,Ашали (Ашуламъ),Ашали,Ашали,263.0,286.0,138.0,788.0,42.76963,46.30878,Daghestan,,1573.82092285156,,not_kutan,Andic,Andi Upper Andi
28,Andi верхне-андийски,267.0,Gagatli,Гагатли,Andi,верхне-андийски,Andi,,True,Гагатль,Гагатль (Гагудиралъ),Гагатль,Гагатли,1360.0,1500.0,1981.0,3543.0,42.800360999999995,46.292645,Daghestan,,1713.54443359375,,not_kutan,Andic,Andi Upper Andi
29,Andi верхне-андийски,273.0,Zilo,Зило,Andi,верхне-андийски,Andi,,True,Зило,"Зило (Зилю, Зилюръ, Зилудиралъ)",Зило,Зило,569.0,469.0,510.0,1220.0,42.731394,46.319223,Daghestan,,1202.365234375,,not_kutan,Andic,Andi Upper Andi
30,Andi верхне-андийски,447.0,Rikvani,Риквани,Andi,верхне-андийски,Andi,,True,Рикуани,"Рикуаны (Рикуны, Рикунадирлъ)",Рикони,Риквани,687.0,770.0,836.0,769.0,42.782303999999996,46.319371999999994,Daghestan,,1874.55419921875,,not_kutan,Andic,Andi Upper Andi
31,Andi верхне-андийски,573.0,Khando,Хандо,Andi,верхне-андийски,Andi,,True,,,Хандо,Хандо,,,18.0,35.0,42.72694,46.23361,Daghestan,,1472.6794433593802,,not_kutan,Andic,Andi Upper Andi
32,Andi верхне-андийски,245.0,Tsibilta,Цибильта,Andi,верхне-андийски,Andi,,True,,,Цибильта,Цибилта,,,90.0,47.0,42.74322,46.243109999999994,Daghestan,,1962.2385253906198,,not_kutan,Andic,Andi Upper Andi
33,Andi верхне-андийски,565.0,Chanko,Чанко,Andi,верхне-андийски,Andi,,True,Чанко,Чанк(х)о Чозкуръ (Чаккудиралъ),Чанко,Чанко,264.0,351.0,116.0,485.0,42.717936,46.246417,Daghestan,,1603.6174316406302,,not_kutan,Andic,Andi Upper Andi
34,Andi нижне-андийский,415.0,Kvankhidatli,Кванхидатли,Andi,нижне-андийский,Andi,,True,Конхидатль (Куанхидатль),Конхидатль (Куанхъ),Конхидатль,Кванхидатли,546.0,419.0,419.0,921.0,42.65789,46.271741999999996,Daghestan,,714.97412109375,,not_kutan,Andic,Andi Lower Andi
35,Andi нижне-андийский,439.0,Muni,Муни,Andi,нижне-андийский,Andi,,True,Муни,Муни,Муни,Муни,911.0,748.0,583.0,3220.0,42.680242,46.308873999999996,Daghestan,,714.5814819335941,,not_kutan,Andic,Andi Lower Andi
36,Andi нижне-андийский,443.0,Rushukha,Рушуха,Andi,нижне-андийский,Andi,,True,,,Рушахо,Рушуха,,,38.0,58.0,42.71509,46.28112,Daghestan,,1677.90393066406,,not_kutan,Andic,Andi Lower Andi
37,Archi верхне-андийски,921.0,Archib,Арчиб,Archi,верхне-андийски,Archi,,True,Арчи (Ручь),Арчи (Ручь),Арчи,Арчиб,804.0,765.0,126.0,200.0,42.0664,46.8678,Daghestan,,2009.66833496094,,not_kutan,Lezgic,Archi 
38,Archi верхне-андийски,925.0,Kalib,Калиб,Archi,верхне-андийски,Archi,,True,,,Кала,Калиб,,,43.0,0.0,42.07054,46.86002,Daghestan,,2117.40405273438,,not_kutan,Lezgic,Archi 
39,Archi верхне-андийски,927.0,Keserib,Кесериб,Archi,верхне-андийски,Archi,,True,,,Кесера,Кесериб,,,76.0,82.0,42.0647,46.888000000000005,Daghestan,,2487.88452148437,,not_kutan,Lezgic,Archi 
40,Archi верхне-андийски,929.0,Kubatl',Кубатль,Archi,верхне-андийски,Archi,,True,,,Кубак,Кубатль,,,100.0,120.0,42.036590000000004,46.85973,Daghestan,,2160.43139648437,,not_kutan,Lezgic,Archi 
41,Archi верхне-андийски,931.0,Khilikh,Хилих,Archi,верхне-андийски,Archi,,True,,,Хилих,Хилих,,,165.0,248.0,42.05838,46.88751,Daghestan,,2284.55786132813,,not_kutan,Lezgic,Archi 
42,Archi верхне-андийски,933.0,Khitab,Хитаб,Archi,верхне-андийски,Archi,,True,,,Хитаб,Хитаб,,,157.0,273.0,42.075379999999996,46.867234,Daghestan,,1982.42175292969,,not_kutan,Lezgic,Archi 
43,Avar ,1051.0,Agada,Агада,Avar,,Avar,,True,,,Ахада,Агада,,,35.0,45.0,42.412001000000004,46.841895,Daghestan,,1210.09204101563,,not_kutan,Avar,Avar 
44,Avar ,657.0,Aymaki,Аймаки,Avar,,Avar,,True,Аймаки,Аймаки (Аймеки),Аймаки,Аймаки,663.0,748.0,884.0,2342.0,42.5342,47.1383,Daghestan,,1282.49133300781,,not_kutan,Avar,Avar 
45,Avar ,879.0,Akaytala,Акайтала,Avar,,Avar,,True,,,Акайтала,Акайтала,,,197.0,688.0,43.03176,46.92583,Daghestan,,475.86471557617205,,not_kutan,Avar,Avar 
46,Avar ,1033.0,Akushali,Акушали,Avar,,Avar,,True,,,Акушали,Акушали,,,85.0,51.0,42.4992,46.9504,Daghestan,,1617.04846191406,,not_kutan,Avar,Avar 
47,Avar ,219.0,Alak,Алак,Avar,,Avar,,True,Алак,Алакъ (Алади),Алак,Алак,665.0,654.0,779.0,2759.0,42.6092,46.1972,Daghestan,,1810.92053222656,,not_kutan,Avar,Avar 
48,Avar ,15.0,Amishta,Амишта,Avar,,Avar,,True,Амишта (Гамишта),Амишта (Гамишта),Амишта,Амишта,122.0,141.0,135.0,129.0,42.629670000000004,46.552971,Daghestan,,1484.29345703125,,not_kutan,Avar,Avar 
49,Avar ,21.0,Amushi Bol'shoe,Амущи Большое,Avar,,Avar,,True,Амуши-большие (Бакта-Гамуши),Амуши Большие (Бакта Амуши),Амуши больш.,Амущи Большое,581.0,550.0,551.0,1510.0,42.63752,46.4864,Daghestan,,1033.43017578125,,not_kutan,Avar,Avar 
50,Avar ,23.0,Amushi Maloe,Амущи Малое,Avar,,Avar,,True,Амуши малые  (Хунда-Амуши),Амуши Малые (Хунда Амуши),Амуши малый,Амущи Малое,159.0,137.0,187.0,126.0,42.650445,46.487815000000005,Daghestan,,825.4591674804691,,not_kutan,Avar,Avar 
51,Avar ,4187.0,Anada,Анада,Avar,,Avar,,True,Аада,Аада (Агада),Апада,Анада,59.0,0.0,38.0,50.0,42.17306,46.369170000000004,Daghestan,,1882.5339355468802,,not_kutan,Avar,Avar 
52,Avar ,25.0,Andykh,Андых,Avar,,Avar,,True,Андик (Хандик),Андых (Андикъ),Андых,Андых,557.0,595.0,602.0,971.0,42.5119,46.5939,Daghestan,,1528.25048828125,,not_kutan,Avar,Avar 
53,Avar ,249.0,Ansalta,Ансалта,Avar,,Avar,,True,Аисалта,"Ансалты (Ансалта, Ансалъ)",Ансальта,Ансалта,1265.0,1381.0,1373.0,4598.0,42.6939,46.1147,Daghestan,,1103.71447753906,,not_kutan,Avar,Avar 
54,Avar ,27.0,Arakani,Аракани,Avar,,Avar,,True,Араканы (Харакуни),Араканы (Харакуни),Араканы,Аракани,1050.0,1190.0,882.0,1638.0,42.610078,46.991710999999995,Daghestan,,858.0935668945309,,not_kutan,Avar,Avar 
55,Avar ,257.0,Argvani,Аргвани,Avar,,Avar,,True,Аргуани,Аргуани,Аргуани,Аргвани,914.0,958.0,974.0,797.0,42.8128,46.5792,Daghestan,,1593.8210449218802,,not_kutan,Avar,Avar 
56,Avar ,659.0,Arkas,Аркас,Avar,,Avar,,True,Аркась,Аркас (Гаркас),Аркас,Аркас,140.0,146.0,268.0,317.0,42.65194,47.138329999999996,Daghestan,,1281.19482421875,,not_kutan,Avar,Avar 
57,Avar ,261.0,Assab,Ассаб,Avar,,Avar,,True,Асса,Асса (Ассабъ),Ассаб,Ассаб,946.0,979.0,835.0,1640.0,42.471596000000005,46.492475,Daghestan,,1596.57141113281,,not_kutan,Avar,Avar 
58,Avar ,35.0,Akhalchi,Ахалчи,Avar,,Avar,,True,Ахальчи,"Ахальчи (Нижний Большой и Верхний Малый А., Горль и Таса Тад А.)",Ахалчи,Ахалчи,894.0,843.0,502.0,734.0,42.594957,46.631744,Daghestan,,1839.25402832031,,not_kutan,Avar,Avar 
59,Avar ,665.0,Akhkent,Ахкент,Avar,,Avar,,True,Ахкенты (Кахаб-росо),Ахкент (Кахаб-Росо),Ахкент,Ахкент,301.0,330.0,394.0,1248.0,42.57353,47.18488,Daghestan,,1544.9997558593802,,not_kutan,Avar,Avar 
